method,attribute,stat,value
mst.positionMag,radius,mean,0.00108103226064957202
mst.positionMag,radius,trueMean,-0.00003767951932418779
mst.positionMag,radius,meanDeviation,0.00108112855829144866
mst.positionMag,radius,minBits,11.74866911672118874321
mst.positionMag,radius,p5Bits,16.05283448982365257507
mst.positionMag,radius,p25Bits,18.93576198185827763609
mst.positionMag,radius,p50Bits,19.99300217044768146479
mst.positionMag,radius,p75Bits,20.70566724142122794206
mst.positionMag,radius,p95Bits,21.37590849422640459920
mst.positionMag,radius,maxBits,21.72332375029141360301
mst.positionMag,radius,meanBits,19.55559834348412451277
mst.positionMag,radius,meanDeviationBits,19.56186804537089685141
mst.positionMag,radius,columnBits,22.00000000000000000000
mst.positionMag,radius,varwidthBits,20.74974974974957930840
mst.positionMag,radius,lzmaBits,8.34434434434434457728
mst.positionMag,total,minBits,84.66017367989839215170
mst.positionMag,total,p5Bits,102.95731622718761855140
mst.positionMag,total,p25Bits,109.64294069637193729250
mst.positionMag,total,p50Bits,112.48842744900593970669
mst.positionMag,total,p75Bits,114.91307814819475652257
mst.positionMag,total,p95Bits,117.21770373003545273605
mst.positionMag,total,maxBits,119.56361611197633010306
mst.positionMag,total,meanBits,111.56508219678653404117
mst.positionMag,total,meanDeviationBits,108.87423413579281827879
mst.positionMag,total,columnBits,127.00000000000000000000
mst.positionMag,total,varwidthBits,119.62462462462434586996
mst.positionMag,total,lzmaBits,40.68868868868868560185
mst.totalBits,positionMag,min,0.04002008832943927674
mst.totalBits,positionMag,p5,0.04738759169559426943
mst.totalBits,positionMag,p25,0.05008854428776320089
mst.totalBits,positionMag,p50,0.05130693139906788991
mst.totalBits,positionMag,p75,0.05247103219009791736
mst.totalBits,positionMag,p95,0.05403670623102110188
mst.totalBits,positionMag,max,0.07378916827627438058
mst.totalBits,positionMag,mean,0.05122214776097096939
mst.totalBits,positionMag,trueMean,0.05122214776097096939
mst.totalBits,positionMag,meanDeviation,0.00167272223670250175
mst.totalBits,positionMag,minBits,25.35686822883140578710
mst.totalBits,positionMag,p5Bits,25.60065320996463356096
mst.totalBits,positionMag,p25Bits,25.68062454735441235698
mst.totalBits,positionMag,p50Bits,25.71529760499367611715
mst.totalBits,positionMag,p75Bits,25.74766503184435606499
mst.totalBits,positionMag,p95Bits,25.79008359884889145519
mst.totalBits,positionMag,maxBits,26.23955290112638749633
mst.totalBits,positionMag,meanBits,25.71114460942454016390
mst.totalBits,positionMag,meanDeviationBits,20.01673020440743755444
mst.totalBits,positionMag,columnBits,27.00000000000000000000
mst.totalBits,positionMag,varwidthBits,26.12512512512549633925
mst.totalBits,positionMag,lzmaBits,8.34434434434434457728
mst.totalBits,positionMagTouching,min,0.00000000000000000000
mst.totalBits,positionMagTouching,p5,0.00000000000000005551
mst.totalBits,positionMagTouching,p25,0.00008961083470657855
mst.totalBits,positionMagTouching,p50,0.00044987024699767036
mst.totalBits,positionMagTouching,p75,0.00142668185159341293
mst.totalBits,positionMagTouching,p95,0.00431371849218743081
mst.totalBits,positionMagTouching,max,0.02070044697983636217
mst.totalBits,positionMagTouching,mean,0.00114511183792753040
mst.totalBits,positionMagTouching,trueMean,-0.00034268391399004997
mst.totalBits,positionMagTouching,meanDeviation,0.00116636335737027455
mst.totalBits,positionMagTouching,minBits,1.00000000000000000000
mst.totalBits,positionMagTouching,p5Bits,1.00000004299566214172
mst.totalBits,positionMagTouching,p25Bits,16.55406268986089202144
mst.totalBits,positionMagTouching,p50Bits,18.88180254854277961840
mst.totalBits,positionMagTouching,p75Bits,20.54688125023885092446
mst.totalBits,positionMagTouching,p95Bits,22.14314836940398123488
mst.totalBits,positionMagTouching,maxBits,24.40580585987267170367
mst.totalBits,positionMagTouching,meanBits,16.66738128771441651566
mst.totalBits,positionMagTouching,meanDeviationBits,19.18800285839168040525
mst.totalBits,positionMagTouching,columnBits,25.00000000000000000000
mst.totalBits,positionMagTouching,varwidthBits,20.62462462462467627233
mst.totalBits,positionMagTouching,lzmaBits,8.31231231231231149081
mst.totalBits,positionTheta,min,0.00062736335433299928
mst.totalBits,positionTheta,p5,0.01239639232759603971
mst.totalBits,positionTheta,p25,0.06441954739919975026
mst.totalBits,positionTheta,p50,0.91990426638759714706
mst.totalBits,positionTheta,p75,1.39531849693010734370
mst.totalBits,positionTheta,p95,2.13235956622609279520
mst.totalBits,positionTheta,max,3.14159265358979311600
mst.totalBits,positionTheta,mean,0.86649733449488375303
mst.totalBits,positionTheta,trueMean,0.00949212290282536696
mst.totalBits,positionTheta,meanDeviation,0.86679567197022022729
mst.totalBits,positionTheta,minBits,19.36159316448031830760
mst.totalBits,positionTheta,p5Bits,23.66606434693710525607
mst.totalBits,positionTheta,p25Bits,26.04364237656574943003
mst.totalBits,positionTheta,p50Bits,29.87955563703573957923
mst.totalBits,positionTheta,p75Bits,30.48059447272251532013
mst.totalBits,positionTheta,p95Bits,31.09245073235566536596
mst.totalBits,positionTheta,maxBits,31.65149613032768982634
mst.totalBits,positionTheta,meanBits,28.37995893339807551570
mst.totalBits,positionTheta,meanDeviationBits,28.36519583445818071255
mst.totalBits,positionTheta,columnBits,32.00000000000000000000
mst.totalBits,positionTheta,varwidthBits,30.74974974974953312312
mst.totalBits,positionTheta,lzmaBits,8.34434434434434457728
mst.totalBits,velocityMag,min,0.00000241314862784157
mst.totalBits,velocityMag,p5,0.00004377094112622600
mst.totalBits,velocityMag,p25,0.00009664078577004161
mst.totalBits,velocityMag,p50,0.00013493175994427992
mst.totalBits,velocityMag,p75,0.00018650683139120942
mst.totalBits,velocityMag,p95,0.00027365210199330902
mst.totalBits,velocityMag,max,0.00042581743239593936
mst.totalBits,velocityMag,mean,0.00014393942116345331
mst.totalBits,velocityMag,trueMean,0.00014393942116345331
mst.totalBits,velocityMag,meanDeviation,0.00005473038927565891
mst.totalBits,velocityMag,minBits,11.34046135408468813921
mst.totalBits,velocityMag,p5Bits,15.52039432118076156542
mst.totalBits,velocityMag,p25Bits,16.66301951668217995461
mst.totalBits,velocityMag,p50Bits,17.14453750245841234801
mst.totalBits,velocityMag,p75Bits,17.61153050321414781365
mst.totalBits,velocityMag,p95Bits,18.16464037859584124135
mst.totalBits,velocityMag,maxBits,18.80252894419425757633
mst.totalBits,velocityMag,meanBits,17.03825564797040215126
mst.totalBits,velocityMag,meanDeviationBits,15.29725717898694981045
mst.totalBits,velocityMag,columnBits,19.00000000000000000000
mst.totalBits,velocityMag,varwidthBits,18.12512512512545015397
mst.totalBits,velocityMag,lzmaBits,8.34434434434434457728
mst.totalBits,velocityTheta,min,0.00000134234569652042
mst.totalBits,velocityTheta,p5,0.00173849303948235123
mst.totalBits,velocityTheta,p25,0.01239086637593636749
